piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus
Goudimel_098_modern	1: 4/4	1: 1	28	28	112.0	28	28	112.0	388.0	273	75	0	0	0	Claude Goudimel	Psalm 98: Chantez à Dieu nouveau cantique		Psalm 98: Chantez à Dieu nouveau cantique						2025-01-28	Linux			Psalm 98: Chantez à Dieu nouveau cantique	Claude Goudimel	3.6.2	2.5.3	MS3/098	MS3/098/Goudimel_098_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		59-71 (B3-B4)		52-67 (E3-G4)		43-55 (G2-G3)
Goudimel_099_modern	1: 4/4	1: 1	17	17	68.0	17	17	68.0	248.0	168	43	0	0	0	Claude Goudimel	Psalm 99: Or est maintenant		Psalm 99: Or est maintenant						2025-01-28	Linux			Psalm 99: Or est maintenant	Claude Goudimel	3.6.2	2.5.3	MS3/099	MS3/099/Goudimel_099_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		55-67 (G3-G4)		52-62 (E3-D4)		43-57 (G2-A3)
Goudimel_101_modern	1: 4/4	1: 1	15	15	60.0	15	15	60.0	216.0	144	37	0	0	0	Claude Goudimel	Psalm 101: Vouloir m'est pris de mettre en		Psalm 101: Vouloir m'est pris de mettre en						2025-01-28	Linux			Psalm 101: Vouloir m'est pris de mettre en	Claude Goudimel	3.6.2	2.5.3	MS3/101	MS3/101/Goudimel_101_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-71 (A3-B4)		52-64 (E3-E4)		43-55 (G2-G3)
Goudimel_105_modern	1: 4/4	1: 2	22	22	88.0	22	22	88.0	312.0	202	61	0	0	0	Claude Goudimel	Psalm 105: Sus, qu'un chacun de nous		Psalm 105: Sus, qu'un chacun de nous						2025-01-28	Linux			Psalm 105: Sus, qu'un chacun de nous	Claude Goudimel	3.6.2	2.5.3	MS3/105	MS3/105/Goudimel_105_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		43-57 (G2-A3)
Goudimel_108_modern	1: 4/4	1: 1	29	29	116.0	29	29	116.0	408.0	264	74	0	0	0	Claude Goudimel	Psalm 108: Mon coeur est dispos, ô mon Dieu		Psalm 108: Mon coeur est dispos, ô mon Dieu						2025-01-28	Linux			Psalm 108: Mon coeur est dispos, ô mon Dieu	Claude Goudimel	3.6.2	2.5.3	MS3/108	MS3/108/Goudimel_108_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		59-71 (B3-B4)		52-67 (E3-G4)		43-57 (G2-A3)
Goudimel_118_modern	1: 4/4	1: 1	28	28	112.0	28	28	112.0	384.0	273	75	0	0	0	Claude Goudimel	Psalm 118: Rendez à Dieu louange et gloire		Psalm 118: Rendez à Dieu louange et gloire						2025-01-28	Linux			Psalm 118: Rendez à Dieu louange et gloire	Claude Goudimel	3.6.2	2.5.3	MS3/118	MS3/118/Goudimel_118_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		59-71 (B3-B4)		52-67 (E3-G4)		43-55 (G2-G3)
Goudimel_119_modern	1: 4/4	1: -1	26	26	104.0	26	26	104.0	368.0	252	64	0	0	0	Claude Goudimel	Psalm 119: Bienheureuse est la personne		Psalm 119: Bienheureuse est la personne						2025-01-28	Linux			Psalm 119: Bienheureuse est la personne	Claude Goudimel	3.6.2	2.5.3	MS3/119	MS3/119/Goudimel_119_modern.mscx	False	41-72 (F2-C5)	mxl		60-72 (C4-C5)		57-65 (A3-F4)		52-62 (E3-D4)		41-55 (F2-G3)
Goudimel_122_modern	1: 4/4	1: 2	35	35	140.0	35	35	140.0	480.0	328	84	0	0	0	Claude Goudimel	Psalm 122: Incontinent que j'eu ouy		Psalm 122: Incontinent que j'eu ouy						2025-01-28	Linux			Psalm 122: Incontinent que j'eu ouy	Claude Goudimel	3.6.2	2.5.3	MS3/122	MS3/122/Goudimel_122_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		52-66 (E3-F#4)		43-57 (G2-A3)
Goudimel_123_modern	1: 4/4	1: -1	27	27	108.0	27	27	108.0	400.0	272	77	0	0	0	Claude Goudimel	Psalm 123: A toy, ô Dieu, qui est là-haut		Psalm 123: A toy, ô Dieu, qui est là-haut						2025-01-28	Linux			Psalm 123: A toy, ô Dieu, qui est là-haut	Claude Goudimel	3.6.2	2.5.3	MS3/123	MS3/123/Goudimel_123_modern.mscx	False	41-72 (F2-C5)	mxl		60-72 (C4-C5)		57-69 (A3-A4)		53-65 (F3-F4)		41-55 (F2-G3)
Goudimel_124_modern	1: 4/4	1: -1	22	22	88.0	22	22	88.0	312.0	200	53	0	0	0	Claude Goudimel	Psalm 124: Or peut bien dire Israel		Psalm 124: Or peut bien dire Israel						2025-01-28	Linux			Psalm 124: Or peut bien dire Israel	Claude Goudimel	3.6.2	2.5.3	MS3/124	MS3/124/Goudimel_124_modern.mscx	False	41-74 (F2-D5)	mxl		60-74 (C4-D5)		57-70 (A3-Bb4)		50-65 (D3-F4)		41-57 (F2-A3)
Goudimel_127_modern	1: 4/4	1: 2	20	20	80.0	20	20	80.0	280.0	194	55	0	0	0	Claude Goudimel	Psalm 127: On a beau sa maison bastir		Psalm 127: On a beau sa maison bastir						2025-01-28	Linux			Psalm 127: On a beau sa maison bastir	Claude Goudimel	3.6.2	2.5.3	MS3/127	MS3/127/Goudimel_127_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		52-66 (E3-F#4)		43-57 (G2-A3)
Goudimel_133_modern	1: 4/4	1: 2	25	25	100.0	25	25	100.0	360.0	232	62	0	0	0	Claude Goudimel	Psalm 133: O combien est plaisant et		Psalm 133: O combien est plaisant et						2025-01-28	Linux			Psalm 133: O combien est plaisant et	Claude Goudimel	3.6.2	2.5.3	MS3/133	MS3/133/Goudimel_133_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		52-66 (E3-F#4)		43-55 (G2-G3)
Goudimel_135_modern	1: 4/4	1: 2	19	19	76.0	19	19	76.0	264.0	169	46	0	0	0	Claude Goudimel	Psalm 135: Chante de Dieu le renom		Psalm 135: Chante de Dieu le renom						2025-01-28	Linux			Psalm 135: Chante de Dieu le renom	Claude Goudimel	3.6.2	2.5.3	MS3/135	MS3/135/Goudimel_135_modern.mscx	False	38-74 (D2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		38-57 (D2-A3)
Goudimel_138_modern	1: 4/4	1: 2	32	32	128.0	32	32	128.0	448.0	280	80	0	0	0	Claude Goudimel	Psalm 138: Il faut que de tous mes esprits		Psalm 138: Il faut que de tous mes esprits						2025-01-28	Linux			Psalm 138: Il faut que de tous mes esprits	Claude Goudimel	3.6.2	2.5.3	MS3/138	MS3/138/Goudimel_138_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-71 (A3-B4)		54-66 (F#3-F#4)		43-57 (G2-A3)
Goudimel_140_modern	1: 4/4	1: 1	15	15	60.0	15	15	60.0	216.0	137	37	0	0	0	Claude Goudimel	Psalm 140: O Dieu, donne-moy delivrance		Psalm 140: O Dieu, donne-moy delivrance						2025-01-28	Linux			Psalm 140: O Dieu, donne-moy delivrance	Claude Goudimel	3.6.2	2.5.3	MS3/140	MS3/140/Goudimel_140_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		61-67 (C#4-G4)		55-64 (G3-E4)		43-55 (G2-G3)
Goudimel_150_modern	1: 4/4	1: 2	24	24	96.0	24	24	96.0	344.0	232	60	0	0	0	Claude Goudimel	Psalm 150: Or soit loué l'Eternel		Psalm 150: Or soit loué l'Eternel						2025-01-28	Linux			Psalm 150: Or soit loué l'Eternel	Claude Goudimel	3.6.2	2.5.3	MS3/150	MS3/150/Goudimel_150_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-67 (A3-G4)		52-62 (E3-D4)		43-57 (G2-A3)
